GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,OPTAX.id,OPTAX.display-label,CONCENFI.id,CONCENFI.display-label,YEAR.id,ESTAB,RCPTOT,VAL_PCT,PAYANN,PAYQTR1,EMP
0100000US,,United States,62,Health care and social assistance,A,All establishments,001,All firms,2007,784626,1668276808,100.0,662719938,156804166,16792074
0100000US,,United States,62,Health care and social assistance,A,All establishments,804,4 largest firms,2007,1694,59059490,3.5,19472603,4819189,408139
0100000US,,United States,62,Health care and social assistance,A,All establishments,808,8 largest firms,2007,2082,87970978,5.3,31524731,7754521,599669
0100000US,,United States,62,Health care and social assistance,A,All establishments,820,20 largest firms,2007,5971,152952741,9.2,53847744,13123533,1039533
0100000US,,United States,62,Health care and social assistance,A,All establishments,850,50 largest firms,2007,14074,252059805,15.1,90729857,22165077,1840431
0100000US,,United States,62,Health care and social assistance,T,Establishments subject to federal income tax,001,All firms,2007,647120,818394571,100.0,330887727,75957676,8322326
0100000US,,United States,62,Health care and social assistance,T,Establishments subject to federal income tax,804,4 largest firms,2007,1246,48183423,5.9,15939877,3942067,306095
0100000US,,United States,62,Health care and social assistance,T,Establishments subject to federal income tax,808,8 largest firms,2007,3764,68917829,8.4,22621966,5575911,444587
0100000US,,United States,62,Health care and social assistance,T,Establishments subject to federal income tax,820,20 largest firms,2007,11986,107336391,13.1,35672440,8814136,818114
0100000US,,United States,62,Health care and social assistance,T,Establishments subject to federal income tax,850,50 largest firms,2007,24154,142238705,17.4,50000534,12381611,1245836
0100000US,,United States,62,Health care and social assistance,Y,Establishments exempt from federal income tax,001,All firms,2007,137506,849882237,100.0,331832211,80846490,8469748
0100000US,,United States,62,Health care and social assistance,Y,Establishments exempt from federal income tax,804,4 largest firms,2007,645,37292721,4.4,13445176,3326791,268504
0100000US,,United States,62,Health care and social assistance,Y,Establishments exempt from federal income tax,808,8 largest firms,2007,822,59756314,7.0,21814597,5312102,414448
0100000US,,United States,62,Health care and social assistance,Y,Establishments exempt from federal income tax,820,20 largest firms,2007,1329,104443204,12.3,38523280,9316936,765457
0100000US,,United States,62,Health care and social assistance,Y,Establishments exempt from federal income tax,850,50 largest firms,2007,2778,171565325,20.2,63446365,15476932,1256595
