GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,OPTAX.id,OPTAX.display-label,CONCENFI.id,CONCENFI.display-label,YEAR.id,ESTAB,RCPTOT,VAL_PCT,PAYANN,PAYQTR1,EMP
0100000US,,United States,81,Other services (except public administration),A,All establishments,001,All firms,2012,529691,426693675,100.0,108185736,26538290,3430711
0100000US,,United States,81,Other services (except public administration),A,All establishments,804,4 largest firms,2012,9069,12945793,3.0,2441968,619315,86804
0100000US,,United States,81,Other services (except public administration),A,All establishments,808,8 largest firms,2012,9523,18517584,4.3,3642175,926286,108371
0100000US,,United States,81,Other services (except public administration),A,All establishments,820,20 largest firms,2012,11206,29769129,7.0,5283210,1400281,137567
0100000US,,United States,81,Other services (except public administration),A,All establishments,850,50 largest firms,2012,20250,46671862,10.9,8836701,2328533,258220
0100000US,,United States,81,Other services (except public administration),T,Establishments subject to federal income tax,001,All firms,2012,422719,230974896,100.0,69948275,17028628,2543493
0100000US,,United States,81,Other services (except public administration),T,Establishments subject to federal income tax,804,4 largest firms,2012,9424,8157435,3.5,2908173,736338,98227
0100000US,,United States,81,Other services (except public administration),T,Establishments subject to federal income tax,808,8 largest firms,2012,13403,12001346,5.2,4176943,1079510,143495
0100000US,,United States,81,Other services (except public administration),T,Establishments subject to federal income tax,820,20 largest firms,2012,18016,19274636,8.3,6069773,1579660,210143
0100000US,,United States,81,Other services (except public administration),T,Establishments subject to federal income tax,850,50 largest firms,2012,22115,29137910,12.6,8850699,2286901,278094
0100000US,,United States,81,Other services (except public administration),Y,Establishments exempt from federal income tax,001,All firms,2012,106972,195718779,100.0,38237461,9509662,887218
0100000US,,United States,81,Other services (except public administration),Y,Establishments exempt from federal income tax,804,4 largest firms,2012,99,10360149,5.3,734002,189948,10144
0100000US,,United States,81,Other services (except public administration),Y,Establishments exempt from federal income tax,808,8 largest firms,2012,635,D,D,D,D,j
0100000US,,United States,81,Other services (except public administration),Y,Establishments exempt from federal income tax,820,20 largest firms,2012,899,22815329,11.7,2000746,559514,24404
0100000US,,United States,81,Other services (except public administration),Y,Establishments exempt from federal income tax,850,50 largest firms,2012,1076,34108361,17.4,3260057,882296,43144
0100000US,,United States,811,Repair and maintenance,A,All establishments,001,All firms,2012,210151,143943567,100.0,41273746,10062284,1194122
0100000US,,United States,811,Repair and maintenance,A,All establishments,804,4 largest firms,2012,987,3317013,2.3,762702,207880,15755
0100000US,,United States,811,Repair and maintenance,A,All establishments,808,8 largest firms,2012,1314,5239309,3.6,1341401,355702,29498
0100000US,,United States,811,Repair and maintenance,A,All establishments,820,20 largest firms,2012,3170,9307598,6.5,2685835,704627,54730
0100000US,,United States,811,Repair and maintenance,A,All establishments,850,50 largest firms,2012,4375,15231401,10.6,4422960,1161710,92383
0100000US,,United States,811,Repair and maintenance,T,Establishments subject to federal income tax,001,All firms,2012,210151,143943567,100.0,41273746,10062284,1194122
0100000US,,United States,811,Repair and maintenance,T,Establishments subject to federal income tax,804,4 largest firms,2012,987,3317013,2.3,762702,207880,15755
0100000US,,United States,811,Repair and maintenance,T,Establishments subject to federal income tax,808,8 largest firms,2012,1314,5239309,3.6,1341401,355702,29498
0100000US,,United States,811,Repair and maintenance,T,Establishments subject to federal income tax,820,20 largest firms,2012,3170,9307598,6.5,2685835,704627,54730
0100000US,,United States,811,Repair and maintenance,T,Establishments subject to federal income tax,850,50 largest firms,2012,4375,15231401,10.6,4422960,1161710,92383
0100000US,,United States,8111,Automotive repair and maintenance,A,All establishments,001,All firms,2012,157152,90804734,100.0,25293872,6148812,832718
0100000US,,United States,8111,Automotive repair and maintenance,A,All establishments,804,4 largest firms,2012,2112,2176946,2.4,551566,139049,18127
